,rank-title,rank-sub,Price(₹),color-count,selling_proposition,discount,Product_Title
88,Unranked(New),General-Home-Textile,313.5,4.0,0,0.0,"1/5/10/ Gray Flat Microfiber Cleaning Cloth,Kitchen,Kitchen Items,Cleaning,Kitchen Towel"
89,Unranked(New),General-Home-Textile,494.0,18.0,1200,0.0,"1pc Modern Nordic Style Pure White Bedside Carpet For Living Room, Bedroom, Tatami, Cute Internet Celebrity Full Coverage Mat"
90,#2 Best Sellers,in Rugs & Carpets,209.00000000000003,4.0,0,0.0,"12/8/4PCS Rug Tape, Reusable Washable Grippers For Rugs, Double Sided Non-Slip Rug Pads For Hardwood Floors, Prevent Rugs From Moving And Rolling Edges, For Living Room Dining Room Bathroom Rugs"
91,Unranked(New),General-Home-Textile,486.40000000000003,4.0,100,20.0,Clear Waterproof Apron
92,Unranked(New),General-Home-Textile,1330.0,11.0,300,65.0,Ultra-Soft 1800 Series Deep Pocket Bed Sheet Set (6-Piece)
93,Unranked(New),General-Home-Textile,518.7,4.0,100,19.0,"1pc Mesh Mosquito Net, Simple White Mosquito Net For Bedroom, Summer"
94,Unranked(New),General-Home-Textile,724.85,5.0,300,18.0,"1pc Khaki Fluffy Rug, Modern Acrylic Anti-slip Floor Carpet For Home"
95,Unranked(New),General-Home-Textile,147.25,5.0,500,50.0,"1pc Cheesecloth Table Runner, Bohemian Style Gauze Cheese Cloth Table Cloth, Transparent Rustic Table Cover, Suitable For Wedding Bride Baby Shower Birthday Or Holiday Party Cake Table Decoration, Romantic Party Tablewear Muslin Table Runner"
96,Unranked(New),General-Home-Textile,399.0,5.0,2900,0.0,"1pc Plain Satin Fitted Sheet, Black Silk Fitted Bed Sheet Queen King Twin Full Size Without Filler, 9 Inches Deep Pocket Cooling Breathable Soft And Silky Bedding Sheet Only, Mattress Sheet, Mattress Protector Cover, Sábanas De Satin, Room Deco"
97,Unranked(New),General-Home-Textile,595.65,5.0,1100,33.0,"Pink Oven Mitts and Pot Holders 4 pcs Set,High Heat Resistant 500 Degree Extra Thicken Long Kitchen Oven Glove for Cooking"
98,#5 Best Sellers,in Rugs & Carpets,589.0,5.0,0,0.0,"1pc HELLO And Welcome Rectangular Coconut Shell Entrance Welcome Doormat, Natural Fiber, Suitable For Indoor Or Outdoor Use - Decorative Script Hello Suitable For Spring, Summer, Autumn, And Winter, Living Room, Bedroom, Kitchen, Bathroom, And Porch"
99,Unranked(New),General-Home-Textile,1102.95,4.0,0,45.0,"1pc Waterproof Cloth Suitable For Camping, Picnic, And Outdoor Activities"
100,#3 Best Sellers,in Carpet Padding & Grippers,171.0,4.0,0,0.0,"24 Pcs Rug Grippers, Non Slip Rug Pads For Hardwood Floors Tiles Marble Floors, Double Sided Adhesive Carpet Grippers Keep Corners Flat, Removable Rug Tapes For Area Rugs"
101,#1 Best Sellers,in Compressed Towels,61.75,4.0,0,66.0,"20pcs Portable Mini Compressing Towel -  Face Compressing Coin Paper Towel For Travel, Home, And Outdoor Activities - Soft And Absorbent"
102,Unranked(New),General-Home-Textile,83.6,4.0,200,56.0,"1pc Solid Color Stool Cover, Modern Polyester Dustproof Stretchy Stool Seat Slipcover For Living Room, Dining Room, Home Office"
103,Unranked(New),General-Home-Textile,370.5,4.0,600,0.0,"1pc Sleeping Hat,Hair Care Satin Faux Silk Bonnet Front Knot Back Adjustable Buckle Large Long Curly Hair Wrap Elastic Drawstring Beauty Hat Hair Protection"
104,#6 Best Sellers,in Tabletop Mat,589.0,4.0,0,0.0,Waterproof Transparent Tablecloth
105,#7 Best Sellers,in Curtain Tracks & Accessories,54.15,4.0,0,78.0,"1pc Multifunctional And Easy-To-Install Telescoping Curtain Rod - Classic White, No Drilling Required, Spring Loaded, Suitable For All Types Of Curtains"
106,Unranked(New),General-Home-Textile,598.5,7.0,1300,0.0,"1pc Soft Plush Carpet, Fluffy Decorative Carpet For Bedroom And Living Room, Non-slip And Anti-shedding, Suitable For Home Decoration Of Bedroom, Living Room, Dormitory, Kindergarten, Children's Room, Girls' Room, Solid Color Pink"
107,#8 Best Sellers,in Fitted Sheets,589.0,7.0,0,0.0,"New Icy Silk Bed Cover For Summer, Anti-Skid Plain Bedspread, Cool And Smooth Mattress Cover, Multiple Colors Elastic Fabric Bed Sheet"
108,#8 Best Sellers,in Compressed Towels,169.1,4.0,0,1.0,20pcs Portable Compressed Disposable Cleansing Towels For Travel Use
109,Unranked(New),General-Home-Textile,3173.95,14.0,0,28.0,"Extra Long Wearable Blanket Hoodie For Women Men Adults Oversized Hooded Blanket Sweatshirt, Super Soft Warm Comfortable Giant Wearable Blanket Hoodie With Big Pocket"
110,Unranked(New),General-Home-Textile,1071.6,4.0,1400,20.0,Floral Pattern Anti-slip Bath Rug
111,Unranked(New),General-Home-Textile,507.3,7.0,1400,11.0,"1pc Fashionable Rose Heart & Butterfly Pattern Printed Brushed Bedsheet Bedcover Dustproof Cover Bedding Supplies For Bedroom, Home Decor"
112,#8 Best Sellers,in Window Treatments,217.55,4.0,0,31.0,"Reflective Privacy Window Film: One-Way Mirror, UV & Heat Control, Self-Adhesive, Waterproof - Ideal For Office & Hotel"
113,Unranked(New),General-Home-Textile,950.0,4.0,400,0.0,"4pcs Linen American Flag Stars And Stripes Pillowcases, Home Decorative Pillow Covers For Bedroom, Office, Couch, Memorial Day And 4th Of July Independence Day Outdoor Pillows (Pillow Core Not Included), Home Decor, Room Decoration, Bedroom Decoration, Living Room Decoration, Sofa Decoration"
114,Unranked(New),General-Home-Textile,380.0,11.0,1100,0.0,1pc Light Grey Faux Silk Blackout Curtains
115,Unranked(New),General-Home-Textile,413.24999999999994,7.0,30,25.0,1pc Mini Handmade Knotted Ball Home Decor For Living Room Sofa Or Window
116,#8 Best Sellers,in Towels & Towel Sets,665.0,4.0,0,0.0,"1pc Coral Fleece Bath Wrap Robe With Thick Water Absorbent Edge, Wearable Towel For Women"
117,#4 Best Sellers,in Dish Cloths & Dish Towels,750.5,4.0,0,0.0,"1roll(20sheets), Reusable Cleaning Wipe, Household Kitchen Cloth, Microfiber Towel Rolls, Dish Rags, Wash Paper Towel Replacement, Cleaning Supplies, Cleaning Tool"
118,#10 Best Sellers,in Fitted Sheets,522.5,4.0,0,0.0,1pc Fashionable Solid Color Ice Silk Plain Weave Bedspread Dust Cover For Bedroom Home Textile Bedding
119,Unranked(New),General-Home-Textile,206.15,4.0,30,65.0,5pcs Bed Sheet Fixing Clip
120,#1 Best Sellers,in Wall Hanging,836.0000000000001,4.0,0,0.0,"1pc Woven Tapestry Home Decor Wall Hanging, Woven Wall Mount Storage Shelf Display Rack For Plants"
121,Unranked(New),General-Home-Textile,836.0000000000001,4.0,20,0.0,"1pc Personalized Text Customized Beach Towel, Quick Dry Swimming Towel, Comfortable Sand Towel, Stylish Pool Towel, Beautiful Yoga Mat, Beach Accessory, Essential Holiday Gift, Various Sizes Available, Suitable For Men And Women"
122,Unranked(New),General-Home-Textile,157.7,12.0,500,28.0,"1pc/4pcs Solid Color High Elasticity Stool Cover, Washable Protective Cover, Suitable For Restaurant, Hotel, Home Dustproof Stool Cover"
123,Unranked(New),General-Home-Textile,494.0,7.0,600,0.0,"1pc Silver Fox Velvet Elastic Chair Cover, Dustproof Soft Chair Protector Cover, Removable Bar Stool Cover, Suitable For Home, Bar, Restaurant"
124,#2 Best Sellers,in Sheet Sets with Pillowcases,1396.5,9.0,0,30.0,"4pcs Plain Satin Sheet Set Without Filler, 1pc Fitted Sheet & 1pc Flat Sheet & 2pcs Pillowcase, Bedding"
125,Unranked(New),General-Home-Textile,429.4,4.0,200,34.0,"Leaf Design Table Runner, Gold Creative PVC Table Mat For Home Decor"
126,Unranked(New),General-Home-Textile,171.0,4.0,100,0.0,"48pcs Black Square Furniture Leg Caps For Chair, Sofa, Table, Floor Protection With Adhesive Pads And Anti-Slip Bottom"
127,Unranked(New),General-Home-Textile,370.5,7.0,900,0.0,"1pc Solid Fuzzy Cushion Cover Without Filler, Modern Flannelette Decorative Throw Pillow Case For Home"
128,Unranked(New),General-Home-Textile,399.0,4.0,20,0.0,20pcs Kitchen Towels And Dishcloths Rag Set 9.4in*5.5in Small Dish Towels For Washing Dishes Dish Rags For Everyday Cooking Baking-Random Color
